person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
74;2;74_2;w;22524.0;24324.0;;20;;10000.0;0.0
74;3;74_3;h;26664.0;;;1;;-25000.0;0.0
75;1;75_1;h;;21600.0;;1;;-25000.0;0.0
75;2;75_2;w;22520.0;24320.0;;20;;10000.0;0.0
75;3;75_3;h;26660.0;;;1;;-25000.0;0.0
76;1;76_1;h;;21600.0;;1;;-25000.0;0.0
76;2;76_2;w;22517.0;24317.0;;20;;10000.0;0.0
76;3;76_3;h;26657.0;;;1;;-25000.0;0.0
77;1;77_1;h;;21600.0;;1;;-25000.0;0.0
77;2;77_2;w;22513.0;24313.0;;20;;10000.0;0.0
77;3;77_3;h;26653.0;;;1;;-25000.0;0.0
78;1;78_1;h;;21600.0;;1;;-25000.0;0.0
78;2;78_2;w;22508.0;24308.0;;20;;10000.0;0.0
78;3;78_3;h;26648.0;;;1;;-25000.0;0.0
79;1;79_1;h;;21600.0;;1;;-25000.0;0.0
79;2;79_2;w;22510.0;24310.0;;20;;10000.0;0.0
79;3;79_3;h;26650.0;;;1;;-25000.0;0.0
80;1;80_1;h;;21600.0;;1;;-25000.0;0.0
80;2;80_2;w;22506.0;24306.0;;20;;10000.0;0.0
80;3;80_3;h;26646.0;;;1;;-25000.0;0.0
81;1;81_1;f;;21600.0;;1;;-25000.0;0.0
81;2;81_2;d;22775.0;24575.0;;20;;10000.0;0.0
81;3;81_3;f;27179.0;;;1;;-25000.0;0.0
82;1;82_1;f;;21600.0;;1;;-25000.0;0.0
82;2;82_2;d;22765.0;24565.0;;20;;10000.0;0.0
82;3;82_3;f;27169.0;;;1;;-25000.0;0.0
83;1;83_1;f;;21600.0;;1;;-25000.0;0.0
83;2;83_2;d;22754.0;24554.0;;20;;10000.0;0.0
83;3;83_3;f;27158.0;;;1;;-25000.0;0.0
84;1;84_1;f;;21600.0;;1;;-25000.0;0.0
84;2;84_2;d;22743.0;24543.0;;20;;10000.0;0.0
84;3;84_3;f;27147.0;;;1;;-25000.0;0.0
85;1;85_1;f;;21600.0;;1;;-25000.0;0.0
85;2;85_2;d;22732.0;24532.0;;20;;10000.0;0.0
85;3;85_3;f;27136.0;;;1;;-25000.0;0.0
86;1;86_1;f;;21600.0;;1;;-25000.0;0.0
86;2;86_2;d;22721.0;24521.0;;20;;10000.0;0.0
86;3;86_3;f;27125.0;;;1;;-25000.0;0.0
87;1;87_1;f;;21600.0;;1;;-25000.0;0.0
87;2;87_2;d;22711.0;24511.0;;20;;10000.0;0.0
87;3;87_3;f;27115.0;;;1;;-25000.0;0.0
88;1;88_1;f;;21600.0;;1;;-25000.0;0.0
88;2;88_2;d;22614.0;24414.0;;20;;10000.0;0.0
88;3;88_3;f;27018.0;;;1;;-25000.0;0.0
89;1;89_1;f;;21600.0;;1;;-25000.0;0.0
89;2;89_2;d;22700.0;24500.0;;20;;10000.0;0.0
89;3;89_3;f;27104.0;;;1;;-25000.0;0.0
90;1;90_1;f;;21600.0;;1;;-25000.0;0.0
90;2;90_2;d;22689.0;24489.0;;20;;10000.0;0.0
90;3;90_3;f;27093.0;;;1;;-25000.0;0.0
91;1;91_1;f;;21600.0;;1;;-25000.0;0.0
91;2;91_2;d;22678.0;24478.0;;20;;10000.0;0.0
91;3;91_3;f;27082.0;;;1;;-25000.0;0.0
92;1;92_1;f;;21600.0;;1;;-25000.0;0.0
92;2;92_2;d;22667.0;24467.0;;20;;10000.0;0.0
92;3;92_3;f;27071.0;;;1;;-25000.0;0.0
93;1;93_1;f;;21600.0;;1;;-25000.0;0.0
93;2;93_2;d;22657.0;24457.0;;20;;10000.0;0.0
93;3;93_3;f;27061.0;;;1;;-25000.0;0.0
94;1;94_1;f;;21600.0;;1;;-25000.0;0.0
94;2;94_2;d;22604.0;24404.0;;20;;10000.0;0.0
94;3;94_3;f;27008.0;;;1;;-25000.0;0.0
95;1;95_1;f;;21600.0;;1;;-25000.0;0.0
95;2;95_2;d;22646.0;24446.0;;20;;10000.0;0.0
95;3;95_3;f;27050.0;;;1;;-25000.0;0.0
96;1;96_1;f;;21600.0;;1;;-25000.0;0.0
96;2;96_2;d;22635.0;24435.0;;20;;10000.0;0.0
96;3;96_3;f;27039.0;;;1;;-25000.0;0.0
97;1;97_1;f;;21600.0;;1;;-25000.0;0.0
97;2;97_2;d;22624.0;24424.0;;20;;10000.0;0.0
97;3;97_3;f;27028.0;;;1;;-25000.0;0.0
98;1;98_1;f;;21600.0;;1;;-25000.0;0.0
98;2;98_2;d;22613.0;24413.0;;20;;10000.0;0.0
98;3;98_3;f;27017.0;;;1;;-25000.0;0.0
99;1;99_1;f;;21600.0;;1;;-25000.0;0.0
99;2;99_2;d;22603.0;24403.0;;20;;10000.0;0.0
99;3;99_3;f;27007.0;;;1;;-25000.0;0.0
100;1;100_1;f;;21600.0;;1;;-25000.0;0.0
100;2;100_2;d;22786.0;24586.0;;20;;10000.0;0.0
100;3;100_3;f;27190.0;;;1;;-25000.0;0.0
