person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
19;1;19_1;06:00:00;00:17:58;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
19;2;19_2;06:47:58;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
20;1;20_1;06:00:00;00:17:47;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
20;2;20_2;06:47:47;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
21;1;21_1;06:00:00;00:15:22;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
21;2;21_2;06:45:22;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
22;1;22_1;06:00:00;00:17:47;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
22;2;22_2;06:47:47;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
23;1;23_1;06:00:00;00:17:47;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
23;2;23_2;06:47:47;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
24;1;24_1;06:00:00;00:15:32;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
24;2;24_2;06:45:32;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
25;1;25_1;06:00:00;00:17:37;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
25;2;25_2;06:47:37;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
