person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
92;2;92_2;06:47:47;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
93;1;93_1;06:00:00;00:17:37;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
93;2;93_2;06:47:37;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
94;1;94_1;06:00:00;00:16:44;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
94;2;94_2;06:46:44;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
95;1;95_1;06:00:00;00:17:26;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
95;2;95_2;06:47:26;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
96;1;96_1;06:00:00;00:17:15;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
96;2;96_2;06:47:15;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
97;1;97_1;06:00:00;00:17:04;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
97;2;97_2;06:47:04;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
98;1;98_1;06:00:00;00:16:53;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
98;2;98_2;06:46:53;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
99;1;99_1;06:00:00;00:16:43;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
99;2;99_2;06:46:43;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
100;1;100_1;06:00:00;00:19:46;00:00:00;25000;35000;freight_n;freight_n;freight_n;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
100;2;100_2;06:49:46;00:43:24;00:00:00;65000;35000;freight_n;freight_n;freight_n;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
