iteration;car;freight_i;freight_n
0;0.8009950248756219;0.19900497512437812;0.0
1;0.8009950248756219;0.0;0.19900497512437812
2;0.8009950248756219;0.1890547263681592;0.009950248756218905
3;0.8009950248756219;0.1791044776119403;0.01990049751243781
4;0.8009950248756219;0.1890547263681592;0.009950248756218905
5;0.8009950248756219;0.19900497512437812;0.0
6;0.8009950248756219;0.15920398009950248;0.03980099502487562
7;0.8009950248756219;0.1791044776119403;0.01990049751243781
8;0.8009950248756219;0.1691542288557214;0.029850746268656716
9;0.8009950248756219;0.19900497512437812;0.0
10;0.8009950248756219;0.1791044776119403;0.01990049751243781
